ID	Descr
68	An introductory course discussing (multivariable) calculus, basic probability,a nd decision theory with a focus on business applications. Topics include several variable function theory, partial differentiation, optimization problems and LaGrange multipliers, Taylor polynomials,infinite series. Basic probability and its application to payoffs and losses, utility, decision trees and sensitivity analysis, Bayesian analysis, inference and decision making.
69	The Foundations sequence is a two-semester, writingintensive course taken sequentially by first year students. It is designed to provide a foundation for the academic and and intellectual life. Faculty and students meet in small, interactive classes to explore classical and contemporary works together. Themes for the first semester are Nature, Society, and The Person, and for the second semester Secular Worldviews, Religious Worldviews, and The American
70	This course is designed to give the student experience in doing research by working in a professional research project being carried out by the instructor. Depending on the particular project, the student may acquire skills in sampling research design, data collection and measurement, data analysis, and research report writing.
71	The role of the financial manager is examined in context with the legal operating and tax environment of contemporary business firms. Attention is focused on financial analysis and planning, the time value of money, risk-return relationships, cash flow, and asset/liability management as well as investment priorities, capital structure, valuation techniques, and capital budgeting applications. Special concerns dealing with mergers, restructuring, and international finance are also addressed. Requires admission to the MS in Accounting program.
72	The course studies how national, subnational and transnational actors create and actuate norms, principles, treaties and institutions for dealing with global environmental issues. (Same as ENVA315.)
73	The Capstone Prep Seminar will prepare students for the Capstone Thesis POSC 497. Students will produce a research proposal for their intended research project related to the theme of the Capstone Thesis in which they are enrolled in the subsequent semester. The seminar will meet in the last third of the semester. Enrollment may be in the spring of the junior year or the fall of the senior year. Requires completion of the 100 level sequence (POSC 100, 130, 140, 150 and the methods sequence 178 and 182) as well as the Portfolio Review. Cannot be taken concurrently with POSC 497. Permission of
74	This course provides a general introduction to philosophical questions concerning law. Among these questions are: Why does law exist? Can laws be broken morally? Why should anyone obey laws? What kinds of laws are there and how do they differ from rules and regulations? What makes punishing criminals right? These issues will be examined through a variety of writings from great historical figures like Plato Aquinas, Locke, and Mill, and contemporaries like Hart and
75	A lab-based introduction to problems, problem-solving, and the kinds of problems amenable to spreadsheet solutions. Provides a foundation for analyzing business and decision support problems using spreadsheet technology. Typical techniques studies may include absolute and relative addressing, macros, and conditionals. Students will be expected to apply their skills to various business scenarios
76	A survey of German history and culture from the Period of the Migration to the Age of Frederick the Great.
77	A study of the principles and the applications used in operations management. The topics covered include
78	The lectures will cover the structure and function of individual neurons and neuronal circuits in both invertebrate and vertebrate species. Topics will include electrical signalling and action potentials, ion channels, synaptic transmission, neuronal plasticity, and general principles governing sensory and motor processing. The laboratory will provide students with hands on experience using fundamental electrophysiological techniques. Students will also investigate neuronal function using computer simulations of ion channels, neurons and circuits. Lab fee.
79	Students will examine the critical role of strategic communication in achieving an organization's objectives, including during times of crisis. Topics will cover a complete range of current communications tools and how to use them in a strategic way. Emphasis will be placed on skills and techniques for developing an integrated approach towards communication and strategy. Students will learn and practice skills that apply to the changing world, including how to manage and communicate during times of organizational change, communicating in times of crisis, managing conflict, communicating to manage and implement large scale projects, and public relations and dealing with the news media, community and
80	The student is introduced to the functions of management in International firms and issues related to adapting managerial practice to ""local"" environments. The course focuses upon the globalization of markets, technologies and business practices and how organizational leaders and managers deal with these changing forces. Topics include managerial planning, communication, leadership, motivation, human resource management and organizational behavior in an international context.
81	Epistemology is the study of knowledge, justification, and rational belief. Topics may include: skepticism; theories of knowledge and justification; the structure of knowledge and justification; sources of epistemic normativity; the value of knowledge; rationality and epistemic responsibility; testimony, memory, and perception;
82	A survey course of lectures, demonstrations, and laboratories in the principles of chemistry including a discussion of topics of contemporary interest. This course is usually offered with emphasis on a specific topic. When such an offering occurs, the content will be designated by a subtitle. This course is designed to fulfill part of the School of Science Core requirement for School of Liberal Arts and School of Business students, as well as Business and Social Science track Computer Science students. It may be taken more than once with different content. An example of the special topic follows: Chemistry in the News: This course will provide a basic backgroung in chemical principles and processes in the context of their role in environmental, health and consumer issues. Topics covered may include ozone depletion, acid rain, global warming, nuclear power and alternative energy sources, recycling, pharmacology, food additives and polymers. The goal of this course is to enable students as informed consumers to critically evaluate scientific issues which have a crucial
83	An introduction to the accounting principles and practices of government and not-for-profit organizations. The course considers fund accounting principles and the unique financial reporting problems important to entities operating within the non-profit area: state and local government, colleges and universities, hospitals, health and welfare agencies, churches and other organizations. Lab problems
84	Today's leaders must navigate across cultures and geographical boundaries to generate sustainable value for business and society. In this course students will learn how to apply innovative leadership techniques in a complex global system to deliver sustainable economic, social, and environmental transformation. They will learn the skills and mental frameworks essential for adaptive and ethical global leaders. The focus will be on how innovative and sustainable business practices can make a difference inside and outside organizations.
85	This survey examines the people, ideas, and institutions view of foreign relations to include interstate diplomacy and economic, social, and cultural interactions among individuals, institutions, and non-governmental
86	This academically oriented course will be taught in Spanish and consists of coursework followed by an intensive travel study component in a selected Spanish-speaking country. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socioeconomic knowledge acquired in class and abroad. Students may repeat this course for credit if subject matter differs. Travel costs are paid in full by students. The cost varies each semester. This course will fulfill a language requirement, it will also count toward a major or minor in
87	Study of specialized accounting topics and issues such as the conceptual framework of accounting, changing price levels, forecast and projections, fiduciary accounting , interim and segment reporting, disclosures, and the standardsetting process. Emphasis is on current pronouncements and the researching of accounting issues. Lab problems
88	A study of the organization and structure of modern programming language paradigms with an emphasis on semantic issues. Topics include formal language theory, syntax, semantics, calling protocols, and conventional and abstract based on the entity-relationship and relational data models. Topics will include logical and physical database design (including E/R modeling, normalization, memory management, and indexing), transactions/concurrency, query processing/optimization algorithms, and query languages (primarily relational algebra and SQL). Problems such as security and integrity of the data will also be discussed. Additional topics may include recovery, object-relational extensions, semistructured data and languages (e.g. XML/Xquery), application development (e.g. PL/SQL, PHP), or distributed systems. Computer Use Fee
89	A study of differential equations using analytic, numerical and graphical techniques. Emphasis is placed on the formulation of models that result in a differential equation and the interpretation of solutions. Slope fields, graphs of solutions (analytic and numerical), vector fields and solution curves in the phase plane will be used to gain a better understanding of differential equations. Computer based tools will be used to investigate the behavior of solutions both numerically and graphically. Offered Spring Series solutions of second order homogeneous linear differential equations, with an emphasis on the equations of Bessel and Legendre, are developed. Fourier series and more general series of orthogonal functions are introduced, with applications to the study of the heat. Laplace and wave equations of mathematical physics. Prerequisite: MATH-260.
90	This academically oriented course will be taught in English and consists of coursework in English followed by an intensive travel study component in a selected French-speaking country. Orientation meetings, research, lectures and discussions will prepare students for an informed field experience. Upon return, students present a project/research paper and portfolio based on their cultural, historical, socio-economic knowledge acquired in the class and abroad. Students may repeat this course for credit if subject matter differs. Travel costs are paid in full by students. The cost varies each semester. This course will not fulfill a language requirement, nor will it count toward a major or minor in French.
91	This course will examine the evolution of electronic commerce from a global strategic marketing perspective. Specific emphasis will be placed on the investigation of a complex general purpose technology framework in the context of the unique characteristics of both business to consumer and business to business markets. The corresponding impacts on the elements of the marketing mix will be examined through an application and analysis of the specific electronic marketing activities which have emerged from the technologies of digitization, networking and i individualization.
92	Provides students with experience using the peace studies approach to peace, conflict resolution and social justice through placement with private and governmental organizations. Students are required to work 8 to 10 hours per week. Evaluation is made by the staff of the participating institution and the Peace Studies Program Director.
93	This course is designed to help the professional understand the key role of model based decision in business settings and identify areas that lend themselves to model based decision-making. Students will learn how to turn business problems into mathematical and spreadsheet models and use those models in order to make better business decisions. The course focuses on optimization models and simulations. Application areas may be drawn from problems in finance, marketing, accounting and operations. Topics will include current and relevant modeling in the areas of optimization and simulation and may include Linear and Integer Programming, Simulation and Optimization, Monte Carlo Simulation.
94	This course is the culminating experience in political science program. It consists of a 3 credit topical seminar and a 1 credit lab. Seminar topics will vary (may be taken more than once with different content). In the course, students will engage deeply with specific topic and produce a capstone project that will include a public presentation. Prerequisites: POSC 100, POSC 130, POSC 140, POSC 150, POSC 178, POSC 182, and Junior standing. Permission of Instructor required.
95	A continuation of FREN-101.
96	Political, social, and economic evolution of the German nation from the Vienna settlement to the present.
97	An advanced level studio course in which students explore chromatic, spatial, and perceptual complexities of painting. Students will inquire into the purpose of painting and analyse the historical and contemporary uses of the media. Students will apply contemporary art theory to create and critique their own portfolio of work. Prerequisite: CREA-200 or permission of the instructor. Studio fee.
98	This course is designed to help the professional understand the key role of model based decision in business settings and identify areas that lend themselves to model based decision-making. Students will learn how to turn business problems into mathematical and spreadsheet models and use those models in order to make better business decisions. The course focuses on optimization models and simulations. Application areas may be drawn from problems in finance, marketing, accounting and operations. Topics will include current and relevant modeling in the areas of optimization and simulation and may include Linear and Programming, Simulation and Optimization, Monte Carlo Simulation, Multi-Period Linear Programming and Discrete Simulation.
99	This course addresses the general principles of financial reporting, underscoring the critical role of the analysis of financial reports in investment decision making. Emphasis is put on (1) the relationship between each financial statement (2) the technologies used to analyze them, and (3) particular distortions bassed on reporting for specific categories of assets and liabilities, alternative financial reporting policies, and differences between a company's reported financial statements and economic reality. All topics covered follow closely the CFA level 1 Body of Knowledge for financial reporting and analysis. The course entails 3 credits. Prereqisite: ACCT 200 (with a Cor better) or instructor's permission. ATTR: BUS
100	This course will be taught with varying subject content in the field of Marketing at an intermediate level. Prerequisite course may be required. The particular content will be indicated by subtitle. It may be taken more for credit multiple times for different topics. 
101	An intensive study of Ancient Greek grammar and vocabulary with practice in translating simple Greek. A student must successfully complete GREK-101 in order to register for GREK-102. 
102	A survey of the origins of the United States from early Colonial foundations to the establishment of the national government with emphasis upon the political maturation of the American colonists.
103	A survey of the masterpieces of Latin Literature in English translations from the Republic to the Late Empire, which may include selections from the comedies of Plautus and Terence, the histories of Livy, Sallust, and Tacitus, the commentaries of Julius Caesar, the poetry of Catullus, Horace, Vergil and Ovid, the biographies of Suetonius and Tacitus, the speeches and philosophical works of Cicero, Lucretius' De Rerum Natura, the comic novels of Petronius and Apuleius, and the Confessions of Augustine. (Same as ENGL-055)
104	Field study in subject areas covered by the department of Biology, Chemistry, Computer Science, Mathematics, or Physics. The primary objective is to develop in the student an awareness of how theoretical concepts are converted into applications of value in today's society through participation in ongoing applied or basic research or development programs in the facilities of business, industry and government. Students will work approximately 6 hours per week for 1 credit, 9 hours per week for 2 credits, or 12 hours per week for 3 credits. The time may be spent on a single project or on a variety of tasks agreed upon by the School of Science Intern Coordinator and the supervisor. Students will be required to keep a log of their activities and to prepare a summary report of their experience at the end of the semester. At the request of the host institution and the discretion of the Intern Coordinator, a student may extend the internship until a total of six credits has been earned. No students may apply more than 6 credits of internship experience in any combination of fields towards their degree (except for international internships). May be taken on a pass/fail grading system only, but does not count against the one elective pass/fail option per semester. Offered during the summer and academic year.
