ID	Scode
1082	1
1083	1
1084	3
1085	2
1086	1
1087	1
1088	1
1089	1
1090	1
1091	1
1092	3
1093	1
1094	1
1095	3
1096	2
1097	3
1098	1
1099	1
1100	1
1101	2
1102	1
1103	1
1104	1
1105	3
1106	1
1107	1
1108	1
1109	1
1110	2
1111	1
1112	1
1113	1
1114	1
1115	2
1116	3
1117	3
1118	1
1119	1
1120	2
1121	1
1122	1
1123	2
1124	1
1125	1
1126	1
1127	1
1128	2
1129	2
1130	1
1131	1
1132	1
1133	1
1134	1
1135	1
1136	1
1137	1
1138	2
1139	1
1140	1
1141	3
1142	1
1143	1
1144	1
1145	1
1146	1
1147	2
1148	1
1149	1
1150	1
1151	1
1152	1
1153	2
1154	1
1155	2
1156	1
1157	1
1158	3
1159	2
1160	3
1161	1
1162	1
1163	1
1164	1
1165	2
1166	1
1167	1
1168	3
1169	1
1170	2
1171	3
1172	2
1173	1
1174	1
1175	2
1176	1
1177	1
1178	3
1179	1
1180	1
1181	1
1182	2
1183	1
1184	1
1185	1
1186	3
1187	1
1188	1
1189	1
1190	1
1191	1
1192	3
1193	3
1194	2
1195	3
1196	1
1197	2
1198	1
1199	1
1200	3
1201	3
1202	2
1203	1
1204	1
1205	1
1206	1
1207	1
1208	1
1209	3
1210	1
1211	1
1212	1
1213	1
1214	1
1215	1
1216	2
1217	1
1218	3
1219	1
1220	1
1221	2
1222	2
1223	1
1224	3
1225	1
1226	1
1227	1
1228	1
1229	1
1230	3
1231	1
1232	1
1233	3
1234	3
1235	1
1236	1
1237	2
1238	1
1239	1
1240	2
1241	1
1242	2
1243	2
1244	1
1245	2
1246	1
1247	1
1248	1
1249	2
1250	2
1251	1
1252	1
1253	1
1254	3
1255	2
1256	1
1257	1
1258	1
1259	2
1260	1
1261	1
1262	1
1263	2
1264	1
1265	1
1266	1
1267	1
1268	1
1269	1
1270	2
1271	2
1272	1
1273	2
1274	1
1275	1
1276	1
1277	1
1278	1
1279	1
1280	3
1281	2
1282	1
1283	1
1284	3
1285	1
1286	1
1287	1
1288	1
1289	2
1290	2
1291	1
1292	2
1293	1
1294	2
1295	1
1296	2
1297	1
1298	1
1299	1
1300	1
1301	2
1302	3
1303	1
1304	3
1305	2
1306	2
1307	1
1308	1
1309	1
1310	3
1311	2
1312	3
1313	2
1314	2
