ID	Pcode
434	17
435	1
436	51
437	28
438	50
439	6
440	2
441	46
442	24
443	23
444	42
445	2
446	49
447	41
448	55
449	31
450	34
451	36
452	31
453	1
454	24
455	36
456	24
457	18
458	33
459	25
460	8
461	21
462	29
463	19
464	8
465	24
466	24
467	23
468	31
469	27
470	36
471	31
472	26
473	42
474	27
475	21
476	56
477	24
478	21
479	17
480	21
481	51
482	2
483	36
484	54
485	36
486	31
487	51
488	36
489	0
490	18
491	36
492	31
493	41
494	17
495	8
496	26
497	37
498	24
499	24
500	57
501	57
502	46
503	41
504	0
505	29
506	54
507	19
508	18
509	24
510	44
511	42
512	55
513	54
514	4
515	2
516	56
517	19
518	37
519	44
520	44
521	4
522	21
523	19
524	42
525	36
526	28
527	46
528	5
529	48
530	24
531	40
532	47
533	4
534	23
535	19
536	19
537	56
538	23
539	23
540	10
541	46
542	52
543	13
544	46
545	48
546	19
547	56
548	28
549	24
550	36
551	1
552	8
553	1
554	45
555	36
556	51
557	31
558	19
559	55
560	37
561	8
562	24
563	4
564	14
565	19
566	55
567	8
568	19
569	29
570	0
571	6
572	56
573	2
574	28
575	24
576	56
577	23
578	41
579	42
580	50
581	50
582	24
583	1
584	19
585	44
586	44
587	33
588	41
589	2
590	1
591	46
592	13
593	19
594	7
595	19
596	44
597	41
598	49
599	36
600	31
601	23
602	52
603	24
604	19
605	55
606	36
607	28
608	1
609	45
610	34
611	1
612	24
613	4
614	32
615	28
616	56
617	41
618	56
619	34
620	41
621	36
622	4
623	31
624	44
625	35
626	49
627	27
628	42
629	24
630	24
631	4
632	14
633	16
634	23
635	36
636	18
637	1
638	1
639	44
640	41
641	6
642	56
643	44
644	50
645	36
646	24
647	51
648	55
649	46
650	38
651	51
652	1
653	2
654	40
655	24
656	55
657	8
658	28
659	32
660	19
661	55
662	46
663	31
664	24
665	56
666	24
667	42
668	55
669	28
670	18
671	28
672	46
673	13
674	31
675	32
676	51
677	36
678	55
679	36
680	19
681	19
682	23
683	17
684	7
685	28
686	13
687	28
688	44
689	48
690	19
691	31
692	32
693	24
694	17
695	19
696	41
697	4
698	23
699	44
700	13
701	25
702	25
703	56
704	19
705	16
706	28
707	30
708	24
709	46
710	38
711	3
712	19
713	9
714	28
715	4
716	16
717	49
718	24
719	32
720	18
721	48
722	31
723	5
724	17
725	36
726	46
727	1
728	56
729	13
730	14
731	46
732	44
733	2
734	2
735	52
736	50
737	24
738	13
739	32
740	56
741	24
742	44
743	19
744	48
745	36
746	1
747	24
748	24
749	41
750	1
751	36
752	24
753	24
754	42
755	24
756	8
757	25
758	55
759	27
760	56
761	56
762	21
763	38
764	31
765	24
766	17
767	50
768	44
769	25
770	24
771	16
772	31
773	24
774	56
775	50
776	44
777	0
778	10
779	49
780	24
781	17
782	50
783	35
784	24
785	8
786	31
787	28
788	19
789	19
790	1
791	19
792	25
793	49
794	17
795	19
796	28
797	9
798	9
799	31
800	41
801	29
802	23
803	41
804	17
805	37
806	24
807	8
808	41
809	4
810	35
811	56
812	1
813	4
814	19
815	19
816	19
817	4
818	23
819	24
820	23
821	1
822	24
823	42
824	27
825	13
826	25
827	42
828	57
829	44
830	42
831	23
832	21
833	19
834	18
835	8
836	44
837	51
838	31
839	25
840	24
841	42
842	19
843	3
844	46
845	33
846	57
847	24
848	17
849	56
850	36
851	28
852	42
853	4
854	37
855	32
856	2
857	52
858	51
859	49
860	46
861	57
862	19
863	55
864	56
865	34
866	19
867	44
868	49
869	24
870	1
871	24
872	44
873	19
874	51
875	24
876	51
877	48
878	18
879	19
880	19
881	24
882	28
883	49
884	36
885	19
886	25
887	56
888	31
889	18
890	44
891	7
892	19
893	8
894	17
895	1
896	33
897	24
898	6
899	28
900	28
901	2
902	51
903	1
904	44
905	3
906	22
907	1
908	29
909	19
910	56
911	55
912	41
913	8
914	25
915	25
916	36
917	25
918	19
919	19
920	16
921	25
922	46
923	33
924	31
925	2
926	24
927	24
928	44
929	1
930	5
931	50
932	6
933	51
934	19
935	24
936	21
937	49
938	28
939	5
940	21
941	37
942	20
943	1
944	51
945	44
946	21
947	51
948	3
949	23
950	51
951	44
952	24
953	25
954	41
955	52
956	8
957	36
958	44
959	28
960	19
961	51
962	21
963	23
964	17
965	24
966	41
967	4
968	23
969	3
970	31
971	40
972	19
973	46
974	55
975	19
976	41
977	36
978	23
979	13
980	25
981	1
982	21
983	8
984	41
985	52
986	1
987	23
988	26
989	31
990	21
991	25
992	17
993	43
994	31
995	23
996	16
997	24
998	34
999	24
1000	57
1001	27
1002	28
1003	32
1004	17
1005	51
1006	4
1007	18
1008	31
1009	49
1010	19
1011	43
1012	4
1013	24
1014	24
1015	29
1016	21
1017	42
1018	51
1019	19
1020	31
1021	10
1022	31
1023	14
1024	24
1025	53
1026	51
1027	8
1028	34
1029	19
1030	51
1031	1
1032	23
1033	24
1034	32
1035	3
1036	44
1037	19
1038	55
1039	41
1040	19
1041	37
1042	19
1043	23
1044	30
1045	44
1046	24
1047	57
1048	24
1049	24
1050	25
1051	18
1052	46
1053	41
1054	55
1055	44
1056	55
1057	49
1058	19
1059	0
1060	36
1061	35
1062	55
1063	25
1064	2
1065	28
1066	25
1067	25
1068	21
1069	28
1070	31
1071	25
1072	32
1073	24
1074	8
1075	2
1076	49
1077	17
1078	21
1079	49
1080	19
1081	46
1082	40
1083	32
1084	29
1085	21
1086	48
1087	28
1088	42
1089	49
1090	49
1091	14
1092	38
1093	7
1094	19
1095	44
1096	4
1097	46
1098	17
1099	19
1100	2
1101	56
1102	33
1103	24
1104	25
1105	46
1106	17
1107	1
1108	43
1109	17
1110	36
1111	19
1112	1
1113	2
1114	2
1115	56
1116	8
1117	29
1118	40
1119	1
1120	21
1121	27
1122	24
1123	51
1124	17
1125	49
1126	28
1127	57
1128	56
1129	21
1130	50
1131	19
1132	19
1133	42
1134	19
1135	17
1136	50
1137	43
1138	55
1139	2
1140	25
1141	52
1142	28
1143	31
1144	32
1145	1
1146	16
1147	55
1148	42
1149	57
1150	32
1151	28
1152	24
1153	36
1154	49
1155	41
1156	19
1157	16
1158	46
1159	55
1160	46
1161	1
1162	31
1163	31
1164	17
1165	4
1166	27
1167	0
1168	44
1169	23
1170	36
1171	37
1172	4
1173	28
1174	19
1175	55
1176	23
1177	19
1178	46
1179	31
1180	19
1181	49
1182	56
1183	17
1184	42
1185	17
1186	44
1187	32
1188	33
1189	1
1190	31
1191	19
1192	44
1193	3
1194	36
1195	3
1196	2
1197	55
1198	27
1199	57
1200	29
1201	3
1202	26
1203	23
1204	42
1205	25
1206	2
1207	7
1208	0
1209	37
1210	1
1211	1
1212	12
1213	18
1214	19
1215	25
1216	36
1217	23
1218	46
1219	24
1220	24
1221	51
1222	56
1223	25
1224	3
1225	40
1226	24
1227	16
1228	27
1229	17
1230	46
1231	24
1232	7
1233	29
1234	37
1235	42
1236	31
1237	56
1238	0
1239	31
1240	51
1241	5
1242	4
1243	56
1244	49
1245	56
1246	18
1247	31
1248	23
1249	13
1250	21
1251	19
1252	48
1253	24
1254	37
1255	4
1256	24
1257	24
1258	19
1259	55
1260	49
1261	31
1262	31
1263	55
1264	24
1265	2
1266	49
1267	32
1268	1
1269	24
1270	36
1271	55
1272	31
1273	36
1274	57
1275	1
1276	0
1277	24
1278	32
1279	1
1280	37
1281	36
1282	17
1283	50
1284	3
1285	17
1286	19
1287	48
1288	16
1289	51
1290	36
1291	17
1292	51
1293	49
1294	4
1295	23
1296	51
1297	23
1298	31
1299	19
1300	49
1301	55
1302	8
1303	28
1304	8
1305	41
1306	56
1307	5
1308	32
1309	24
1310	37
1311	41
1312	29
1313	4
1314	4
